id,date,airport_code,airport_name,airport_province,location,region,latitude,longitude,incident_type,reportable_incident,incident_country,serious_incident,damage,total_injured,total_uninjured,aircraft_id,aircraft_type,aircraft_model,aircraft_make,organization,operator_type,operation_type,destination_airport_code,destination_airport_name,departure_airport_code,departure_airport_name
156615,2022-12-10 14:06:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.47055555555556,73.74083333333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,Yes,NONE,0,2,39618,AEROPLANE,737-200,BOEING,AIR INUIT,COMMERCIAL,AIR TRANSPORT,YPX,PUVIRNITUQ,YUL,Pierre Elliott Trudeau Intl
156604,2022-11-07 19:20:00,YGP,Gaspé (Michel-Pouliot),QUEBEC,GASPÉ,QUEBEC,48.77527777777777,64.47972222222222,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,123899,AEROPLANE,BA 32-12,BRITISH AEROSPACE,PASCAN AVIATION,COMMERCIAL,AIR TRANSPORT,YGR,ÎLES-DE-LA-MADELEINE,YGP,Gaspé (Michel-Pouliot)
156603,2022-11-07 18:51:00,YMT,CHIBOUGAMAU/CHAPAIS,QUEBEC,CHIBOUGAMAU,QUEBEC,49.77194444444444,74.52805555555555,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,38558,AEROPLANE,A100,BEECH,PROPAIR,COMMERCIAL,AIR TRANSPORT,YGL,LA GRANDE RIVIÈRE,YVP,KUUJJUAQ
156599,2022-12-04 19:15:00,SU3,St-Hyacinthe,QUEBEC,St-Hyacinthe,QUEBEC,45.60666667,73.015,ENGINE (i),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,133203,AEROPLANE,DA42,DIAMOND,CARGAIR  - CARGAIR,COMMERCIAL,TRAINING,YHU,St-Hubert,YSC,SHERBROOKE
156593,2022-12-04 12:20:00,NF4,(Lindsay),ONTARIO,Kawartha Lakes,ONTARIO,44.36472222,78.78388889,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,No,SUBSTANTIAL,0,8,109621,AEROPLANE,172I,CESSNA,DURHAM FLIGHT CENTRE,PRIVATE,PLEASURE/TRAVEL,NF4,(Lindsay),YOO,Oshawa Executive
156592,2022-12-02 15:37:00,KD6,THOMPSON,MANITOBA,THOMPSON,CENTRAL,55.80472222,97.8625,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,9,131934,AEROPLANE,200,BEECH,KEEWATIN AIR,COMMERCIAL,AIR TRANSPORT,YBT,BROCHET,KD6,THOMPSON
156590,2022-11-30 17:23:00,YRT,RANKIN INLET,NUNAVUT,RANKIN INLET,CENTRAL,62.81055556,92.11472222,ENGINE (i),INCIDENT REPORTABLE,CANADA,No,NONE,0,36,122734,AEROPLANE,ATR 42-300,ATR,CALM AIR,COMMERCIAL,AIR TRANSPORT,YRT,RANKIN INLET,JJ7,CHURCHILL
156585,2022-11-20 11:43:00,PX8,SAULT STE. MARIE,ONTARIO,SAULT STE. MARIE,ONTARIO,46.485,84.50944444,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,128708,AEROPLANE,PC-12/47,PILATUS,ORNGE AIR,COMMERCIAL,AIR AMBULANCE/ EMERGENCY MEDICAL,KE6,THUNDER BAY,PX8,SAULT STE. MARIE
156584,2022-11-25 08:38:00,KE6,THUNDER BAY,ONTARIO,THUNDER BAY,CENTRAL,48.37194444,89.32166667,DEPRESSURIZATION (vii),INCIDENT REPORTABLE,CANADA,No,NONE,0,4,133191,AEROPLANE,PC-12/47E,PILATUS,ORNGE AIR,COMMERCIAL,AIR AMBULANCE/ EMERGENCY MEDICAL,NB7,MOOSONEE,KE6,THUNDER BAY
156574,2022-11-26 17:58:00,YND,OTTAWA/GATINEAU,QUEBEC,GATINEAU,QUEBEC,45.52166667,75.56361111,LANDING GEAR RETRACTED/COLLAPSED(v),INCIDENT REPORTABLE,CANADA,No,MINOR,0,2,133186,AEROPLANE,L-29 DELFIN,AERO VODOCHODY,Acer Cold War Museum,PRIVATE,BUSINESS,YND,OTTAWA/GATINEAU,YND,OTTAWA/GATINEAU
156572,2022-11-03 17:25:00,SH2,ÎLE-AUX-GRUES,QUEBEC,ÎLE-AUX-GRUES,QUEBEC,47.06666667,70.53333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,39008,AEROPLANE,185 F,CESSNA,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,SH2,ÎLE-AUX-GRUES,SH2,ÎLE-AUX-GRUES
156568,2022-11-25 06:25:00,YKF,KITCHENER/WATERLOO,ONTARIO,KITCHENER,ONTARIO,43.46083333,80.37861111,RUNWAY EXCURSION (v),INCIDENT REPORTABLE,CANADA,No,MINOR,0,140,132316,AEROPLANE,737-800,BOEING,FLAIR AIRLINES,COMMERCIAL,AIR TRANSPORT,YKF,KITCHENER/WATERLOO,YVR,Vancouver Intl
156567,2022-11-24 11:30:00,AJ8,PITT MEADOWS,BRITISH COLUMBIA,PITT MEADOWS,PACIFIC,49.21611111,122.71277778,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,133183,AEROPLANE,PA-28-140,PIPER,Amy’s Flying School Ltd.,COMMERCIAL,TRAINING,AJ8,PITT MEADOWS,AJ8,PITT MEADOWS
156566,2022-11-21 14:51:00,YHU,St-Hubert,QUEBEC,Montreal,QUEBEC,46.88138889,73.87611111,COLLISION (x),INCIDENT REPORTABLE,CANADA,No,MINOR,0,2,130423,HELICOPTER,412EP,BELL HELICOPTER,Gouvernement du Quebec - Service Aerien Gouvernemental,STATE,SEARCH AND RESCUE,YHU,St-Hubert,YHU,St-Hubert
156564,2022-10-25 15:32:00,KD6,THOMPSON,MANITOBA,THOMPSON,CENTRAL,55.80472222,97.8625,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,3,103115,AEROPLANE,B200,BEECH,BEAVER AIR SERVICES,COMMERCIAL,AIR TRANSPORT,KD6,THOMPSON,ZSN,SOUTH INDIAN LAKE
156562,2022-11-22 23:00:00,YGM,Industrial Park,MANITOBA,Gimli,CENTRAL,50.62805556,97.04333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,38207,AEROPLANE,172M,CESSNA,LS Airways Flight Academy,COMMERCIAL,TRAINING,YGM,Industrial Park,YGM,Industrial Park
156559,2022-11-19 23:00:00,YYJ,Victoria Intl,BRITISH COLUMBIA,Victoria,PACIFIC,48.64722222,123.42583333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,75,129889,AEROPLANE,DHC-8-402,De Havilland Aircraft of Canada,WESTJET ENCORE,COMMERCIAL,AIR TRANSPORT,YYJ,Victoria Intl,YVR,Vancouver Intl
156555,2022-11-05 15:00:00,YYZ,Lester B. Pearson Intl,ONTARIO,Toronto,ONTARIO,43.676666666666655,79.63055555555555,DEPRESSURIZATION (vii),INCIDENT REPORTABLE,CANADA,No,UNKNOWN,0,4,35911,AEROPLANE,A320-200,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YYT,ST. JOHN'S INTL,YYZ,Lester B. Pearson Intl
156554,2022-11-18 11:27:00,YEG,Edmonton Intl,ALBERTA,Edmonton,WESTERN,53.31,113.57944444444443,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,133179,AEROPLANE,172S,CESSNA,AIRBORNE ENERGY SOLUTIONS,COMMERCIAL,INSPECTION,ZVL,VILLENEUVE,ZVL,VILLENEUVE
156547,2022-11-15 21:41:00,YQB,Jean Lesage Intl,QUEBEC,Quebec City,QUEBEC,46.791111111111114,71.39333333333335,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,13,130157,AEROPLANE,DHC-8-300,DE HAVILLAND,AIR INUIT,COMMERCIAL,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YQB,Jean Lesage Intl
156546,2022-11-16 23:07:00,YWG,James Armstrong Richardson Intl,MANITOBA,Winnipeg,CENTRAL,48.37194444,89.32166667,UNABLE TO PERFORM (vi),INCIDENT REPORTABLE,CANADA,No,NONE,0,9,109624,AEROPLANE,737-700,BOEING,WestJet Airlines Ltd,COMMERCIAL,AIR TRANSPORT,YYC,Calgary Intl,YYZ,Lester B. Pearson Intl
156545,2022-11-16 22:00:00,JF9,ISLAND LAKE,MANITOBA,ISLAND LAKE,CENTRAL,53.85,94.65,ENGINE (i),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,40301,AEROPLANE,PA-31-350,PIPER,SANDY LAKE SEAPLANE SERVICE,COMMERCIAL,AIR TRANSPORT,ZSJ,SANDY LAKE,YST,ST. THERESA POINT
156544,2022-06-22 14:28:00,YXH,MEDICINE HAT,ALBERTA,MEDICINE HAT,WESTERN,50.01888889,110.72055556,LOSS OF SEPARATION (x),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,132712,AEROPLANE,B200GT,BEECH,CANWEST AVIATION,COMMERCIAL,AIR TRANSPORT,YYC,Calgary Intl,YXH,MEDICINE HAT
